Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type,Merchant_Category,Monthly_Income,Account_Balance,KYC_Status,Region,Risk_Level,Card_Type,Spending_Level,Gender,Age
CUST9846,14-12-2024,470.39,Debit,Healthcare,184845,5270.57,Completed,North,Low,Gold,Low,Female,32
CUST4037,21-10-2024,4253.62,Debit,Restaurants,111515,24420.1,Completed,South,Low,Platinum,Moderate,Male,30
CUST2565,12-04-2025,2764.03,Debit,Restaurants,131124,29735.52,Completed,East,Medium,Platinum,Low,Other,58
CUST5677,09-10-2024,7948.69,Credit,Restaurants,100773,25250.06,Pending,East,Low,Gold,Low,Female,34
CUST2270,04-12-2024,2181.09,Debit,Restaurants,32333,23346.03,Pending,West,Low,Silver,Moderate,Female,54
CUST6648,24-02-2025,4523.39,Debit,Travel,79135,12853.47,Completed,South,Low,Silver,Moderate,Female,30
CUST7956,09-10-2024,9116.23,Debit,Bills,161999,9451.87,Pending,North,Low,Gold,Low,Male,49
CUST6050,17-05-2025,327.16,Credit,Restaurants,113380,2106.68,Completed,East,Low,Platinum,Low,Female,39
CUST2971,10-01-2025,8068.97,Credit,Restaurants,192780,23774.89,Completed,North,Low,Gold,Moderate,Female,31
CUST4007,18-08-2024,7488.97,Debit,Online Shopping,191490,23315.47,Completed,South,Low,Platinum,Moderate,Male,51
CUST5453,22-10-2024,2444.73,Debit,Restaurants,195553,11070.8,Pending,North,High,Platinum,Moderate,Male,65
CUST8401,14-03-2025,2829.26,Credit,Online Shopping,135725,7319.75,Completed,East,Low,Platinum,Low,Male,43
CUST7532,17-01-2025,5426.46,Debit,Online Shopping,109945,3610.42,Completed,South,Low,Silver,Low,Female,55
CUST2533,13-06-2025,6208.81,Credit,Online Shopping,43220,3818.57,Completed,North,Low,Silver,Moderate,Other,54
CUST1383,06-09-2024,9845.29,Credit,Online Shopping,113937,17673.45,Not Started,West,Low,Silver,Low,Female,39
CUST4686,30-09-2024,9678.76,Credit,Groceries,112868,11103.05,Pending,North,Low,Gold,High,Female,39
CUST6090,04-06-2025,5375.38,Debit,Restaurants,79062,28216.76,Completed,West,Low,Platinum,Moderate,Female,24
CUST3241,16-04-2025,9485.83,Debit,Healthcare,27524,6132.11,Completed,South,Low,Gold,Moderate,Male,43
CUST6384,18-03-2025,2047.67,Credit,Online Shopping,105051,12243.11,Pending,North,High,Silver,Moderate,Female,35
CUST2640,11-04-2025,4414.06,Debit,Bills,68592,7084.29,Completed,North,Low,Silver,High,Male,51
CUST8703,16-03-2025,1159.66,Credit,Restaurants,183526,20728.59,Completed,West,Low,Gold,Low,Male,33
CUST9350,24-10-2024,1031.06,Debit,Entertainment,126619,7744.8,Completed,West,Medium,Gold,Low,Other,38
CUST4953,21-07-2024,6873.93,Credit,Bills,48495,26402.91,Completed,North,Low,Platinum,Moderate,Female,50
CUST2731,02-01-2025,4336.92,Debit,Bills,188281,12185.93,Completed,South,Medium,Platinum,Moderate,Male,40
CUST5345,16-09-2024,2764.43,Credit,Online Shopping,60705,9055.31,Pending,East,Low,Platinum,Low,Female,36
CUST1876,24-08-2024,9103.74,Debit,Groceries,52785,22993.48,Completed,South,Low,Silver,Moderate,Female,40
CUST5256,09-11-2024,7686.85,Debit,Online Shopping,81209,28785.88,Pending,North,Low,Silver,Moderate,Male,34
CUST9145,28-01-2025,6678.78,Debit,Online Shopping,142373,943.71,Completed,East,Low,Silver,Low,Male,56
CUST7312,15-08-2024,8442.58,Credit,Groceries,148201,29157.55,Completed,East,Low,Gold,High,Female,25
CUST6467,07-01-2025,2771.82,Credit,Groceries,80123,10865.35,Pending,North,Medium,Silver,Moderate,Female,38
CUST8323,26-11-2024,4888.03,Credit,Healthcare,144664,21541.25,Completed,North,Low,Gold,Moderate,Other,45
CUST3786,15-05-2025,3666.64,Credit,Online Shopping,58610,29548.78,Completed,South,Low,Platinum,Moderate,Male,68
CUST5082,30-08-2024,5569.36,Credit,Travel,41305,23070.53,Pending,North,Low,Platinum,Low,Female,60
CUST2342,05-07-2025,7859.93,Debit,Entertainment,110870,21619.95,Completed,North,Medium,Gold,Moderate,Female,40
CUST6236,13-03-2025,6192.05,Credit,Bills,51737,18277.26,Completed,North,Medium,Silver,High,Male,69
CUST4683,25-02-2025,9250.03,Debit,Online Shopping,64827,19236.61,Completed,North,Low,Gold,Moderate,Other,52
CUST4694,22-11-2024,3708.3,Credit,Entertainment,43488,1737.07,Pending,North,Low,Silver,Low,Male,67
CUST3276,14-10-2024,3213.29,Credit,Entertainment,112852,23605.74,Pending,North,Low,Platinum,Moderate,Other,37
CUST5958,11-06-2025,3687.2,Debit,Online Shopping,141406,16055.92,Completed,East,Low,Platinum,Low,Female,44
CUST1328,10-04-2025,3666.63,Debit,Healthcare,131273,27631.83,Not Started,West,Low,Platinum,Low,Female,47
CUST2827,01-08-2024,5898.18,Credit,Bills,147958,24646.6,Completed,South,High,Gold,Low,Female,44
CUST3226,16-07-2025,651.44,Debit,Groceries,120444,26366.95,Pending,North,Low,Silver,Moderate,Female,18
CUST3491,14-06-2025,3091.85,Debit,Online Shopping,154062,18807.98,Completed,South,Low,Platinum,Moderate,Female,24
CUST6191,17-11-2024,7843.34,Credit,Groceries,57604,4755.44,Not Started,North,Low,Gold,Low,Male,56
CUST4418,13-01-2025,385.29,Debit,Travel,37754,20291.33,Not Started,West,Low,Silver,Moderate,Male,34
CUST5299,18-07-2025,5509.94,Credit,Healthcare,126561,4985.46,Completed,South,Low,Silver,Low,Other,29
CUST8535,06-03-2025,2474.88,Debit,Restaurants,175204,11943.15,Not Started,East,Low,Silver,Moderate,Other,47
CUST1501,16-01-2025,2445.72,Debit,Bills,130955,16961.76,Completed,South,Low,Silver,Low,Female,32
CUST1163,06-01-2025,9598.89,Credit,Groceries,188610,21560.68,Completed,South,Low,Gold,High,Male,62
CUST8552,07-01-2025,2231.05,Debit,Healthcare,104587,5175.12,Completed,East,Medium,Platinum,Moderate,Other,46
CUST7452,02-06-2025,3793.67,Debit,Online Shopping,171204,24679.17,Pending,West,Low,Silver,High,Female,51
CUST5153,22-07-2024,6161.25,Credit,Healthcare,102371,25864.26,Completed,West,Low,Silver,Moderate,Female,57
CUST3836,04-04-2025,3474.29,Credit,Bills,193420,4579.51,Completed,West,Low,Platinum,Low,Male,38
CUST6325,30-09-2024,3745.25,Credit,Entertainment,83256,20534.13,Completed,North,Low,Silver,Moderate,Male,39
CUST4797,15-02-2025,2834.54,Credit,Groceries,61301,20067.18,Completed,North,Low,Platinum,Low,Other,39
CUST6040,15-05-2025,6236.14,Credit,Healthcare,136441,16521.64,Pending,West,Low,Platinum,High,Female,59
CUST2363,11-04-2025,9542.32,Credit,Online Shopping,89955,2403.19,Completed,East,Medium,Platinum,High,Female,66
CUST5852,02-10-2024,6417.05,Credit,Entertainment,28101,13913.01,Not Started,North,Low,Gold,Moderate,Male,44
CUST4504,16-06-2025,9468.2,Credit,Restaurants,48581,7548.91,Pending,East,Low,Gold,Low,Female,25
CUST1214,08-10-2024,8894.02,Credit,Healthcare,163298,26924.27,Pending,North,Low,Platinum,Low,Male,55
CUST6920,23-09-2024,824.72,Debit,Travel,163974,28734.52,Completed,West,Low,Silver,Moderate,Other,64
CUST2331,23-01-2025,1026.02,Credit,Entertainment,157889,9212.01,Completed,South,Low,Silver,High,Female,26
CUST3111,13-11-2024,8604.21,Credit,Bills,25354,6301.79,Completed,South,Low,Silver,Moderate,Other,22
CUST2890,13-11-2024,2504.36,Credit,Groceries,139795,28831.06,Pending,North,Low,Platinum,High,Male,39
CUST1138,07-02-2025,6923.01,Credit,Restaurants,63792,7649.17,Completed,East,Low,Gold,Moderate,Other,19
CUST3200,09-09-2024,7142.76,Debit,Entertainment,196791,11461.66,Completed,East,Low,Platinum,Low,Female,36
CUST9325,12-05-2025,2597.8,Credit,Bills,87939,14711.27,Pending,East,Low,Gold,Moderate,Male,51
CUST4847,24-02-2025,9773.82,Debit,Entertainment,107159,5916.6,Completed,North,Low,Platinum,High,Other,18
CUST7099,10-12-2024,7977.06,Debit,Travel,34785,17697.69,Completed,West,Low,Silver,Moderate,Male,44
CUST5809,28-07-2024,6544.41,Debit,Bills,105250,20717.38,Completed,East,Medium,Gold,Low,Female,22
CUST3261,23-03-2025,3779.85,Debit,Entertainment,69458,3729.37,Not Started,South,Low,Platinum,Moderate,Female,61
CUST3341,01-11-2024,1703.87,Credit,Travel,129892,18727.91,Pending,West,Medium,Silver,Moderate,Male,32
CUST5222,18-01-2025,3412.44,Credit,Bills,45744,15922.84,Completed,East,Low,Silver,Moderate,Male,26
CUST6677,23-09-2024,9911.94,Credit,Restaurants,187839,13601.56,Completed,South,Low,Platinum,High,Male,36
CUST4608,19-12-2024,3300.1,Credit,Healthcare,181651,15344,Completed,West,Low,Platinum,High,Female,35
CUST2622,08-10-2024,8227.24,Debit,Restaurants,135040,25354.59,Completed,South,Low,Platinum,Low,Other,19
CUST9123,30-11-2024,4254.94,Debit,Restaurants,162062,18646.24,Not Started,West,Low,Platinum,Moderate,Female,67
CUST5879,16-05-2025,8084.49,Debit,Travel,193642,7986.79,Completed,South,Medium,Platinum,Low,Male,40
CUST4776,10-02-2025,8789.32,Credit,Groceries,170802,27047.46,Completed,North,Low,Silver,Moderate,Male,27
CUST5143,18-02-2025,5263.86,Debit,Travel,165518,7379.63,Pending,West,Low,Gold,Moderate,Female,18
CUST4395,04-08-2024,5882.76,Credit,Online Shopping,71980,21019.31,Not Started,South,High,Silver,Moderate,Other,43
CUST5303,27-10-2024,1488.52,Credit,Entertainment,84839,9557.91,Completed,North,Low,Gold,Moderate,Male,57
CUST8531,21-03-2025,8674.34,Debit,Bills,183815,8277.88,Completed,North,Low,Gold,Low,Other,24
CUST5916,12-09-2024,2031.19,Debit,Travel,81000,20215.29,Not Started,East,Medium,Platinum,Low,Male,50
CUST1251,21-10-2024,4464.74,Credit,Groceries,38126,11116.69,Completed,West,Low,Gold,Moderate,Male,40
CUST2889,13-09-2024,1284.29,Credit,Travel,110324,8949.94,Completed,North,Medium,Platinum,High,Other,33
CUST3525,20-08-2024,4835.07,Debit,Entertainment,79365,8913.64,Completed,North,Low,Platinum,Low,Male,57
CUST8702,11-03-2025,7365.29,Debit,Entertainment,76959,28566.32,Not Started,North,Low,Gold,High,Male,25
CUST9665,06-09-2024,3957.33,Debit,Entertainment,137664,21343.72,Completed,East,Low,Gold,Low,Male,21
CUST1853,19-02-2025,8293.36,Credit,Online Shopping,90758,7760.2,Completed,West,Low,Gold,High,Female,32
CUST5548,10-06-2025,9510.06,Credit,Entertainment,43993,15564.84,Completed,North,Low,Platinum,Low,Male,64
CUST7793,05-03-2025,6487.92,Debit,Healthcare,190997,2575.66,Pending,North,Medium,Silver,High,Male,21
CUST1479,11-03-2025,5410.24,Debit,Groceries,153819,2614.12,Completed,South,Medium,Silver,Moderate,Other,69
CUST7803,17-02-2025,1442.44,Debit,Restaurants,77513,27284.57,Completed,West,Low,Silver,High,Female,30
CUST7147,27-11-2024,8194.79,Credit,Bills,157143,6280.76,Not Started,East,Low,Gold,Moderate,Female,48
CUST1002,09-04-2025,1505.47,Credit,Entertainment,59050,20274.74,Completed,East,Medium,Platinum,Low,Female,27
CUST4842,01-10-2024,6922.19,Credit,Bills,169045,24024.91,Pending,West,Low,Silver,Moderate,Male,59
CUST4292,26-07-2024,2331.23,Debit,Bills,199740,5180.75,Not Started,East,Low,Gold,High,Other,54
CUST1025,11-12-2024,7659.8,Debit,Bills,38733,7355.15,Completed,West,Low,Gold,Moderate,Other,46
CUST8282,19-08-2024,7926.01,Credit,Groceries,173468,28003.14,Completed,East,Low,Platinum,High,Male,18
CUST4497,07-07-2025,7507.63,Credit,Healthcare,75699,8101.44,Completed,North,Low,Gold,High,Female,34
CUST5217,26-03-2025,8803.79,Credit,Online Shopping,75224,6681.44,Completed,West,Low,Platinum,Moderate,Female,42
CUST6661,28-10-2024,4760.91,Credit,Online Shopping,90899,12457.19,Completed,South,Low,Platinum,High,Female,44
CUST1096,19-10-2024,4972.59,Credit,Healthcare,111444,14679.5,Not Started,South,Low,Gold,Moderate,Female,50
CUST8296,08-12-2024,7075.16,Credit,Healthcare,135571,1683.66,Completed,North,Low,Gold,Moderate,Male,44
CUST7027,14-10-2024,5760.2,Credit,Healthcare,191289,3801.65,Completed,North,Low,Silver,Moderate,Other,59
CUST3574,05-08-2024,2606.38,Debit,Bills,198353,1922.89,Completed,North,Low,Silver,High,Other,55
CUST3058,25-12-2024,4106.98,Debit,Entertainment,82177,28264.44,Completed,North,Medium,Platinum,Moderate,Male,29
CUST5254,09-03-2025,7565.25,Credit,Groceries,111640,25662.61,Completed,North,High,Platinum,Low,Male,55
CUST5395,01-10-2024,8122.05,Debit,Entertainment,95075,19212.1,Completed,West,Low,Silver,High,Other,60
CUST7974,25-04-2025,6688.38,Debit,Groceries,56860,18629.79,Pending,West,Medium,Silver,Low,Female,18
CUST1389,13-02-2025,6623.62,Credit,Online Shopping,47916,12343.36,Completed,North,Low,Silver,High,Female,65
CUST2693,27-06-2025,3727.45,Credit,Entertainment,138374,2244.04,Completed,East,Low,Platinum,Moderate,Female,41
CUST2548,20-03-2025,4004.16,Debit,Entertainment,99525,3439.29,Completed,East,Low,Platinum,Low,Female,68
CUST3610,13-01-2025,5542.02,Credit,Travel,27891,17383.18,Completed,South,Low,Gold,Moderate,Male,23
CUST8268,17-01-2025,738.95,Credit,Bills,112575,18385.1,Completed,South,Low,Gold,Moderate,Female,67
CUST9618,23-05-2025,380.4,Debit,Entertainment,51699,18606.58,Completed,East,Low,Platinum,Moderate,Female,53
CUST2121,31-10-2024,4458.94,Credit,Restaurants,162379,16744.97,Not Started,North,Medium,Silver,Moderate,Other,41
CUST9534,05-01-2025,8383.88,Debit,Healthcare,142746,7081.47,Not Started,North,Low,Platinum,Moderate,Female,55
CUST1470,30-01-2025,2482.99,Debit,Entertainment,51977,22241.77,Completed,West,Low,Silver,Moderate,Other,63
CUST5840,15-03-2025,2331.58,Debit,Entertainment,111529,8444.21,Completed,East,High,Platinum,Low,Other,18
CUST4975,22-12-2024,3250.81,Credit,Bills,116365,1560.79,Completed,West,Medium,Silver,Low,Male,18
CUST3972,09-07-2025,2739.41,Debit,Healthcare,168502,6290.01,Pending,North,Low,Platinum,Moderate,Female,49
CUST4997,12-04-2025,159.87,Credit,Healthcare,76388,3413.97,Pending,East,Medium,Gold,Low,Male,39
CUST5183,26-12-2024,9636.81,Credit,Restaurants,180349,7480.25,Completed,East,Low,Silver,Moderate,Female,47
CUST9533,23-03-2025,4098.46,Credit,Travel,132360,23498.45,Completed,West,Low,Platinum,Moderate,Male,51
CUST9151,19-10-2024,6891.16,Credit,Restaurants,31742,16756.74,Pending,South,High,Platinum,High,Other,23
CUST5109,02-10-2024,5223.4,Credit,Travel,38331,12691.03,Pending,East,Low,Gold,Low,Other,36
CUST1778,15-10-2024,1053.62,Credit,Restaurants,25271,3636.9,Completed,South,Low,Silver,High,Other,19
CUST8881,14-08-2024,2919.73,Credit,Entertainment,34759,25726.8,Completed,East,Medium,Gold,Moderate,Male,23
CUST8923,13-11-2024,9433.59,Debit,Online Shopping,149493,8032.09,Completed,North,Low,Platinum,Moderate,Male,68
CUST2225,19-07-2025,6127.39,Credit,Restaurants,144808,1838.87,Completed,East,Medium,Platinum,Moderate,Male,58
CUST2101,28-10-2024,6073.02,Debit,Bills,83934,25888.3,Pending,North,Medium,Silver,Moderate,Other,48
CUST2336,09-09-2024,1397.93,Credit,Online Shopping,91366,1627.88,Pending,South,Low,Platinum,Moderate,Male,56
CUST1462,06-10-2024,2939.43,Credit,Restaurants,174073,27790.86,Completed,East,Low,Platinum,Moderate,Male,56
CUST6995,23-04-2025,821.57,Debit,Entertainment,66658,17544.86,Completed,North,Low,Silver,Low,Other,56
CUST6288,10-08-2024,1466.03,Debit,Restaurants,190502,5091.87,Completed,North,Low,Silver,Low,Male,24
CUST3521,11-05-2025,4243.94,Credit,Entertainment,197569,2071.39,Pending,South,Medium,Gold,Low,Other,51
CUST2454,15-11-2024,1394.91,Credit,Travel,146452,26131.36,Completed,East,Low,Silver,Moderate,Female,18
CUST4708,06-05-2025,2215.56,Credit,Entertainment,76911,18690.11,Completed,North,Low,Gold,Low,Female,33
CUST6969,30-12-2024,6337.06,Debit,Online Shopping,146336,18689.76,Completed,East,Low,Platinum,Moderate,Other,20
CUST9120,11-02-2025,3547.23,Debit,Bills,93849,22671.33,Pending,South,Medium,Platinum,Low,Female,26
CUST8678,22-12-2024,4323.24,Credit,Healthcare,74091,20870.98,Not Started,North,Low,Gold,Low,Female,33
CUST2202,18-05-2025,245.8,Debit,Bills,40978,29656.42,Completed,North,Low,Gold,Low,Other,23
CUST8363,23-12-2024,1370.78,Credit,Online Shopping,80564,5254.23,Completed,East,Low,Platinum,Moderate,Male,19
CUST8346,19-02-2025,6992.76,Debit,Entertainment,73105,9077.72,Completed,North,Medium,Platinum,Moderate,Female,24
CUST3783,20-04-2025,2305,Credit,Groceries,180437,19975.4,Completed,West,Low,Gold,High,Male,21
CUST1404,30-12-2024,6144.76,Credit,Groceries,50671,19652.75,Pending,East,Low,Silver,High,Female,47
CUST3349,09-11-2024,2540.58,Debit,Travel,67509,21516.89,Completed,South,Low,Platinum,Moderate,Female,49
CUST3257,29-11-2024,1135.42,Debit,Healthcare,78156,18864.9,Completed,East,Low,Silver,Moderate,Other,51
CUST3728,19-11-2024,2855.9,Debit,Travel,77338,17128.98,Pending,North,Low,Silver,Moderate,Other,63
CUST4818,28-09-2024,570.49,Debit,Restaurants,181764,18550.03,Completed,West,Low,Platinum,Moderate,Other,47
CUST3727,15-07-2025,907.42,Debit,Entertainment,198909,950.56,Pending,East,Low,Platinum,Moderate,Other,67
CUST2759,14-02-2025,8225.17,Debit,Restaurants,155970,6646.3,Completed,North,Low,Gold,Low,Female,23
CUST2925,31-10-2024,7161.57,Credit,Healthcare,121848,10012.46,Completed,West,Low,Silver,Low,Male,21
CUST3686,24-03-2025,4230.42,Credit,Healthcare,118872,28720.02,Not Started,East,Low,Platinum,Moderate,Male,49
CUST1277,24-11-2024,9747.7,Debit,Healthcare,139077,6179.3,Not Started,East,Medium,Silver,Low,Female,19
CUST1835,06-11-2024,9171.5,Debit,Travel,61993,1750.54,Completed,West,Medium,Gold,Moderate,Other,28
CUST4894,18-04-2025,7548.97,Debit,Restaurants,97205,2377.14,Pending,North,Low,Platinum,Low,Male,24
CUST1684,27-12-2024,7787.06,Debit,Entertainment,139983,11925.74,Completed,North,Low,Platinum,Moderate,Male,27
CUST2317,13-04-2025,524.71,Debit,Restaurants,199913,25147.22,Completed,East,Low,Gold,Moderate,Female,67
CUST4765,26-05-2025,190.5,Debit,Groceries,73848,22476.62,Completed,East,Medium,Platinum,Low,Male,33
CUST5462,15-04-2025,3111.66,Debit,Travel,145296,11861.59,Completed,West,Medium,Gold,Low,Female,27
CUST5644,24-05-2025,1325.44,Debit,Bills,162494,21992.56,Completed,East,Low,Gold,Low,Female,33
CUST6796,11-05-2025,7706.94,Credit,Restaurants,39209,19989.35,Completed,West,Low,Gold,High,Other,20
CUST4182,06-04-2025,8863.52,Debit,Entertainment,139619,11964.02,Pending,West,Low,Silver,High,Male,60
CUST2625,08-01-2025,9820.43,Credit,Restaurants,180673,8854.65,Completed,West,Medium,Platinum,Low,Male,49
CUST8481,19-09-2024,9672.12,Credit,Restaurants,169650,20317.1,Completed,West,Low,Silver,Low,Female,55
CUST3863,29-04-2025,5116.96,Credit,Bills,83302,13723.77,Completed,West,Low,Gold,Low,Female,30
CUST8544,03-07-2025,583.98,Debit,Travel,54721,4410.62,Completed,East,Low,Gold,Low,Other,36
CUST5428,23-01-2025,493.1,Debit,Entertainment,149294,13920.49,Pending,South,Low,Gold,Low,Male,58
CUST5538,16-05-2025,6641.76,Debit,Groceries,163300,16444.41,Not Started,East,Medium,Gold,Moderate,Male,25
CUST9105,08-01-2025,8364.06,Debit,Restaurants,56645,10339.35,Completed,South,Medium,Gold,Moderate,Female,45
CUST3175,01-03-2025,5714.13,Credit,Restaurants,33128,25684.38,Completed,East,Low,Gold,Moderate,Female,57
CUST6314,01-11-2024,9665.71,Credit,Travel,198881,7397.99,Completed,West,Low,Gold,Low,Other,43
CUST3478,04-02-2025,7611.52,Debit,Bills,176814,28120.94,Completed,West,Low,Platinum,Low,Female,47
CUST1253,09-12-2024,9551.95,Debit,Restaurants,60582,24712.69,Pending,East,Low,Gold,Low,Female,53
CUST4113,22-04-2025,9429.76,Credit,Healthcare,110797,27755.35,Pending,South,Low,Gold,Low,Male,32
CUST8542,18-01-2025,4578.68,Debit,Entertainment,42868,3366.05,Completed,West,Low,Gold,Moderate,Male,27
CUST4135,14-09-2024,5370.2,Debit,Healthcare,95742,13167.04,Completed,East,High,Gold,Moderate,Male,63
CUST5258,03-04-2025,4173.88,Debit,Online Shopping,137116,18767.33,Completed,East,Low,Platinum,Low,Female,54
CUST3671,20-01-2025,2303.25,Debit,Restaurants,193107,6880.42,Not Started,West,Low,Platinum,High,Female,65
CUST6262,15-12-2024,2067.29,Credit,Restaurants,168403,29806.91,Completed,West,Medium,Gold,Moderate,Female,41
CUST6816,27-08-2024,5963.99,Debit,Travel,170956,4583.24,Completed,South,High,Gold,Moderate,Female,26
CUST7642,12-05-2025,7000.73,Credit,Groceries,125961,18456.33,Completed,East,Low,Silver,High,Male,69
CUST4277,02-08-2024,545.88,Credit,Entertainment,124416,2084,Completed,East,Medium,Platinum,High,Female,47
CUST5455,01-11-2024,4690.89,Debit,Entertainment,136324,5883.84,Completed,South,Low,Silver,High,Female,61
CUST3664,08-10-2024,102.98,Credit,Healthcare,155515,18210.33,Pending,East,Medium,Platinum,Low,Male,24
CUST3643,31-12-2024,3899.12,Credit,Online Shopping,170668,14680.14,Completed,West,Low,Gold,Low,Other,68
CUST7230,28-10-2024,924.13,Credit,Healthcare,139186,25537.73,Completed,North,Low,Gold,Moderate,Other,30
CUST8965,27-12-2024,792.45,Credit,Healthcare,34479,5547.81,Not Started,East,Low,Silver,Low,Male,63
CUST8222,21-12-2024,3849.51,Debit,Groceries,25207,12851.64,Completed,North,High,Platinum,Moderate,Female,38
CUST7491,11-06-2025,6787.16,Debit,Healthcare,152562,10722.29,Pending,West,Low,Silver,Low,Female,41
CUST5856,06-02-2025,4512.63,Debit,Restaurants,127810,16934.79,Completed,East,Low,Silver,Low,Other,63
CUST9087,09-05-2025,9893.88,Credit,Healthcare,91881,14334.84,Completed,East,Low,Gold,Moderate,Other,33
CUST2204,15-05-2025,7472.6,Credit,Restaurants,93936,21237.61,Pending,North,Low,Platinum,Moderate,Male,38
CUST1803,01-12-2024,2172.38,Debit,Bills,144460,4715.47,Completed,West,High,Silver,Moderate,Female,34
CUST7269,26-05-2025,5994.29,Debit,Bills,69053,2298.03,Not Started,West,Low,Gold,Moderate,Male,59
CUST7470,30-03-2025,8692.84,Debit,Travel,53479,8961.35,Completed,East,Low,Platinum,Low,Female,18
